ObjectID,GlobalID,Incidental Bird?,Time,4-Letter Species Code,Sex,Number of Birds in Incidental Group,Incidental Notes,Next Incidental Observation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
114,d90072c0-c29b-4fd3-8655-8969aeb76bd3,,,,,,,,1ced05f2-fdf9-4821-bb30-6a4417b25ff4,6/10/2024 3:05:18 PM,will.harrod,6/10/2024 3:05:18 PM,will.harrod,0,0
115,0f7b3618-58bc-43e3-a2e0-d427a4237d0a,,,,,,,,066438ce-6629-4454-8ada-aa70675ce176,6/10/2024 3:44:34 PM,will.harrod,6/10/2024 3:44:34 PM,will.harrod,0,0
116,22ec888e-c0b1-419f-83ac-4ef541eccf4c,Y,07:51,CHUK,U,1,,,a589a4f8-9a03-4efe-8e05-ad261fbae8c2,6/10/2024 5:58:55 PM,reggleston,6/10/2024 5:58:55 PM,reggleston,-113.645514024103,41.8595270547608
117,083ca647-f20c-46a2-8880-0adcaf26c64a,Y,06:33,RTHA,U,1,,,8371b535-68e5-466f-96f3-3aba55c469c0,6/10/2024 6:30:08 PM,will.harrod,6/10/2024 6:30:08 PM,will.harrod,-113.970869214198,41.8180518693971
118,439cca8a-79bc-4028-ab73-c3fe55eebaec,Y,09:11,CHUK,U,2,,,8371b535-68e5-466f-96f3-3aba55c469c0,6/10/2024 6:30:08 PM,will.harrod,6/10/2024 6:30:08 PM,will.harrod,-113.9639744135,41.8188514146323
119,ea6e8fe0-8ac2-441d-a699-1105427e77ca,Y,10:05,TUVU,U,,Location is wrong - was close to point 10,,8371b535-68e5-466f-96f3-3aba55c469c0,6/10/2024 6:30:08 PM,will.harrod,6/10/2024 6:30:08 PM,will.harrod,-113.967641828236,41.81985378113
120,93614758-0883-41c1-a34d-b7ddad6bd229,,,,,,,,909c81b0-d144-4dec-9c24-d6d0009c1d29,6/10/2024 9:11:23 PM,reggleston,6/10/2024 9:11:23 PM,reggleston,0,0
121,bae104b8-deaf-43c1-9008-008e112b5307,Y,08:28,UNBI,U,1,Flushed Chukar or partridge walking to point 11,,50e8dfb7-5fbe-49db-b7ae-7b0b497a7eec,6/10/2024 9:11:26 PM,reggleston,6/10/2024 9:11:26 PM,reggleston,-113.616333916774,41.8908026149959
122,eb449116-bbd1-4bda-ac28-e244fb369fb5,Y,06:49,GRSG,U,4,,,c09d36a9-5f3c-451e-b6db-a8f18088dd17,6/11/2024 3:07:48 PM,will.harrod,6/11/2024 3:07:48 PM,will.harrod,-114.06074326,42.22013665
123,05e4abfd-afb3-4c58-a054-d1b47872fe26,,,,,,,,cefa5938-49ab-41ee-aee1-1cc9707b4595,6/11/2024 4:34:40 PM,reggleston,6/11/2024 4:34:40 PM,reggleston,0,0
124,0bf89d2a-5589-4228-8ef3-ff9733876ae9,Y,07:30,SEOW,U,,,,49c3ec32-9f13-45a1-a7d0-698f7930d3c0,6/11/2024 8:31:13 PM,will.harrod,6/11/2024 8:31:13 PM,will.harrod,-113.943299711293,42.2072995733948
125,6ecfe9bb-9da2-4efc-ad2e-df3e5b0118df,,,,,,,,52c4a01b-8929-4e4b-99a0-3c2535450979,6/11/2024 9:34:57 PM,will.harrod,6/11/2024 9:34:57 PM,will.harrod,0,0
126,82b7a487-4823-42d3-bc18-75d5d7327ef4,Y,07:18,GRPA,U,,,,cba50824-9803-4b5b-802e-78dec5758ba9,6/11/2024 9:34:58 PM,will.harrod,6/11/2024 9:34:58 PM,will.harrod,-114.03423776,42.20876661
127,fc6450fb-b5d0-4e96-93ef-859341eab317,Y,08:11,CAWR,U,,,,7b6d4b12-5937-4644-a053-fc242ddfadc8,6/11/2024 10:50:31 PM,will.harrod,6/11/2024 10:50:31 PM,will.harrod,-114.00051375,42.27770227
128,102703e5-cb1b-4613-982e-ce7c88f83fa0,Y,08:15,CHUK,U,3,,,7b6d4b12-5937-4644-a053-fc242ddfadc8,6/11/2024 10:50:31 PM,will.harrod,6/11/2024 10:50:31 PM,will.harrod,-114.00111483,42.276973
129,b18b1f57-dcdd-4b54-8904-56a2c6d1cd12,Y,07:03,????,U,11,Brewers black birds,,5b3034c5-058d-40e3-aab9-e0d8aeb66a4b,6/12/2024 2:34:32 PM,will.harrod,6/12/2024 2:34:32 PM,will.harrod,-113.236562738247,42.0914276546779
130,7a139c54-7cb2-460c-bbb2-b404b9aeb7b1,Y,08:36,GRAP,U,10,2 adults 8 chicks,,7717421a-e0b4-4fe2-9d80-56d80d6109ec,6/12/2024 2:34:35 PM,will.harrod,6/12/2024 2:34:35 PM,will.harrod,-113.685176153244,41.9835696608762
