ObjectID,GlobalID,Date and Start Time,Observer Name,Transect ID,Visit #,Sky Start,Sky End,Wind Start,Wind End,Start Temperature,End Temperature,CreationDate,Creator,EditDate,Editor,x,y
31,482a1e00-a24f-4139-9614-ec444f57bc48,6/13/2022 3:47:00 PM,Rory Eggleston,UT-B16,V2,2,2,3,3,45,48,6/19/2022 8:18:32 PM,reggleston,6/19/2022 8:18:32 PM,reggleston,-113.984915418657,41.8636761932092
32,d8973b93-a067-4e12-a10f-a69ec0093f86,6/14/2022 1:02:00 PM,Rory Eggleston,UT-C6,V2,0,1,1,0,38,55,6/19/2022 8:18:32 PM,reggleston,6/19/2022 8:18:32 PM,reggleston,-114.005058389263,41.4238248439891
33,5e88c7b0-411b-498d-bae8-d64a63b00499,6/15/2022 1:09:00 PM,Rory Eggleston,UT-B2,V2,0,0,1,2,45,55,6/19/2022 8:18:33 PM,reggleston,6/19/2022 8:18:33 PM,reggleston,-113.623210396723,41.5476456704005
34,cb207c44-79df-427f-b68d-c21f090f082f,6/16/2022 12:38:00 PM,Rory Eggleston,UT-B17,V2,0,1,3,3,50,55,6/19/2022 8:18:34 PM,reggleston,6/19/2022 8:18:34 PM,reggleston,-113.616431700172,41.8907590862754
35,1ba20acf-6a48-4c04-8973-c4d86b86639a,6/17/2022 1:02:00 PM,Rory Eggleston,UT-B24,V2,0,0,1,3,55,75,6/19/2022 8:18:36 PM,reggleston,6/19/2022 8:18:36 PM,reggleston,-114.038364719706,41.7955624172853
36,be7af50e-9054-4d1b-8777-c5e20ff7f0a4,6/13/2022 1:39:00 PM,Eoin,B15,2,2,2,1,1,40,40,6/19/2022 8:37:54 PM,reggleston,6/19/2022 8:37:54 PM,reggleston,-113.96742423154,41.8490483801373
37,6cf8512c-9ee6-4a1d-be6e-1fdfb1f52b56,6/13/2022 3:55:00 PM,Eoin,B16,2,2,2,1,2,40,45,6/19/2022 8:37:55 PM,reggleston,6/19/2022 8:37:55 PM,reggleston,-113.98521362875,41.8703992802931
38,c7dae1c1-5441-4627-b263-9e02097d59ff,6/14/2022 12:09:00 PM,Eoin,B5,2,0,0,0,2,35,50,6/19/2022 8:37:56 PM,reggleston,6/19/2022 8:37:56 PM,reggleston,-113.950087122873,41.5506514679796
39,98490770-9f9b-40aa-8029-e7ded71329a7,6/15/2022 12:57:00 PM,Eoin,C2,2,0,0,1,2,35,40,6/19/2022 8:37:57 PM,reggleston,6/19/2022 8:37:57 PM,reggleston,-113.656801555977,41.5557186241227
40,28143b1c-0636-475a-afff-805b0cb77db2,6/16/2022 12:46:00 PM,Eoin,B19,2,0,0,1,3,50,70,6/19/2022 8:37:58 PM,reggleston,6/19/2022 8:37:58 PM,reggleston,-113.690105102342,41.9787871341661
41,a77c8b82-84b9-4caf-84a8-02f7e100ef6a,6/17/2022 12:42:00 PM,Eoin,C24,2,0,0,2,3-4,60,65,6/19/2022 8:37:59 PM,reggleston,6/19/2022 8:37:59 PM,reggleston,-113.948482995703,41.7884801702107
42,2069c6b6-6d11-442b-be14-8e62e81697bc,6/14/2022 12:08:00 PM,Austin,UT-C22,2,0,1,0,1,33,45,6/20/2022 1:16:18 AM,reggleston,6/20/2022 1:16:18 AM,reggleston,-113.909395796079,41.693560388625
43,fda3763b-be95-42fc-9f7e-00ce9699a579,6/14/2022 4:02:00 PM,Austin,UT-B22,2,1,1,1,0,55,65,6/20/2022 1:16:19 AM,reggleston,6/20/2022 1:16:19 AM,reggleston,-113.94250450398,41.6968960182006
44,fc36f043-4be0-4bb4-a1ac-bab7d6786b44,6/15/2022 12:23:00 PM,Austin,UT-B1,02,0,0,1,2,35,60,6/20/2022 1:16:20 AM,reggleston,6/20/2022 1:16:20 AM,reggleston,-113.710669233818,41.5366636139121
45,c2c8edbd-3855-427f-838b-b4cada056392,6/16/2022 1:20:00 PM,Austin,UT-C17,02,0,0 ,0,4,58,62,6/20/2022 1:16:21 AM,reggleston,6/20/2022 1:16:21 AM,reggleston,-113.643036888271,41.8509911341735
46,6d04e65e-70cb-4365-81d4-c6090b23def9,6/17/2022 12:06:00 PM,Austin,UT-C8,02,1,0,1,5,64,70,6/20/2022 1:16:22 AM,reggleston,6/20/2022 1:16:22 AM,reggleston,-113.97432945062,41.7835527712168
47,85832a1a-a1ae-44f5-9fde-becb095b12f4,6/15/2022 12:31:00 PM,eliza wesemann,UT-C1,2,0,0,0,0,35,60,6/20/2022 2:39:13 AM,carter_ruger,6/20/2022 2:39:13 AM,carter_ruger,-113.718614576872,41.577074974719
