ObjectID,GlobalID,Point #,Start Time at Point,Area Burned?,Percent of Area Burned,Area Treated?,Treatment Type,Percent of Area Treated,Cliff/Rock Present,Cheatgrass Present?,Percent Cheatgrat,Woody Vegitation Species Present,Woody Plant Species 1,Woody Plant Species 2,Woody Plant Species 3,Woody Plant Species 4,Woody Plant Species 5,Percent Tree Cover,Percent Shrub Cover,Average Shrub Height,Ground Cover Types Present,% snow cover,% water cover,% low woody vegitation (<0.25m) cover,% dead or downed tree cover,% herb or forb cover (not grass),% dead grass cover,% live grass cover,% leaf litter cover,% bare ground cover,"If Point Isn't Surveyed, Why?",Point Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Next Point,Average Dead Grass Height,x,y
117,f4be48ae-e142-47ad-b0ff-34058e2d6ee4,07,07:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRSP males fighting,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.61366771289,41.9571101079784
118,2cf5111a-58ce-45af-a288-4bce77d9752a,06,07:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.616637982163,41.9570615254162
119,273d3733-95d7-4fb8-8346-2e538a919fb5,10,07:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.616533295021,41.9548151941046
120,e7faf1e6-12ca-4a4c-bf87-d3cab8c33414,14,07:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.616532220243,41.9526065854424
121,674c0e95-7180-4b5c-bfba-a5057fce48af,13,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.61948049128,41.9524745439501
122,ca0d54ed-d8e2-4ed5-acef-675f04943abf,09,08:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.619588594758,41.9547451424512
123,752c956d-692e-4d1a-b8c8-3554f982bdbc,05,08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.619710998153,41.9569451084381
124,4d818449-aaba-4e54-a961-822bd1488ff1,01,08:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.619767054821,41.9591445511246
125,18ec1743-ec23-4a78-895f-4ec6f224f2a0,02,08:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.616734357047,41.9593028019946
126,cdfc8eb7-f3df-450e-942c-32e3d42e8662,03,09:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6950c9c-88dc-43ed-a079-dded6a6c21a8,5/18/2023 4:04:11 PM,will.harrod,5/18/2023 4:04:11 PM,will.harrod,,,-113.61373375253,41.9593226010986
