"","Grid.ID","Grid.Type","Grid.X","Grid.Y","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","Elevation","TRI","Sage.Type","rdnbr","Fire.Year","Fire.Count","Prop.South","Prob.Burned","ln.Prop.South"
"51","UT-C08","R",253197.488902917,4630386.57662778,34.4395058487961,30.5675599665484,3.88782914200553,10.6139274397812,2019.26281577413,5.69231084779251,2,0,0,0,100,0,4.60517018598809
"52","UT-C15","R",253641.749193316,4633661.74385695,35.1724563332704,31.5299652493917,3.89770381338894,8.71359093410847,2034.90974830805,5.29039299543514,2,0,0,0,100,0,4.60517018598809
"53","UT-C16","R",254318.191302156,4644063.13229102,36.2634269375002,30.0575382999241,2.42722928195928,8.76370070224911,2041.04167291198,4.04060901471573,2,0,0,0,100,0,4.60517018598809
"54","UT-C17","R",280662.188260276,4637365.57151123,34.4734595314256,29.6533614421942,4.19300435624343,8.72437346202868,2216.94515630549,4.06219146034934,2,0,0,0,100,0,4.60517018598809
"55","UT-C19","R",283276.270215006,4648184.21520281,19.5483933747569,22.9145786366131,5.35650799762976,26.7566494624826,1735.64829730613,0.687345554204972,1,0,0,0,100,0,4.60517018598809
"56","UT-C22","R",257546.051995979,4620195.12794504,26.550356775554,14.9854052556843,4.15897156747258,28.1768871079872,1627.82276573181,0.678591235478719,1,0,0,0,100,0,4.60517018598809
"57","UT-C24","B",254853.02157729,4630123.1004404,25.2390793449402,32.9659911102295,6.71596475795805,13.3723208816528,2101.80531275439,5.54422320993284,2,465.87881254998,1999,1,100,150.909090909091,4.60517018598809
"58","UT-C25","B",255892.099982749,4634031.49142318,25.3418840618151,33.4674130715799,6.11896686456137,12.4187331784406,2080.56504955054,7.15486774682574,2,498.338902937041,1999,1,100,1109.47368421053,4.60517018598809
"59","UT-C27","R",251125.038785963,4648368.45942227,20.8341627586365,22.1071719085693,5.32067367019653,22.5492897491455,1585.90586838677,1.45403085308015,1,0,0,0,100,0,4.60517018598809
"60","UT-C30","R",257508.514217781,4632590.62386765,30.1583907373613,33.310934713228,4.16476274651887,13.5507339889959,1880.2335809226,3.49250681312686,1,400.066062168408,0,1,100,29.7644539614561,4.60517018598809
