"","Full.Point.ID","Route.ID","Route.Type","Sage.Cover","Perennial.Cover","Elevation","Burn.Sevarity","Aspect","Fire.Name","Fire.Year","Fire.Distance"
"128","ID-B15-P16","ID-B15","B",3.92727272727273,49.4909090909091,1805.27342862216,3,6,"Emery",2010,197.958675243236
"129","ID-B16-P01","ID-B16","B",2.47272727272727,51.8727272727273,1597.25490089699,2,4,"Cave Canyon",2012,223.370221546718
"130","ID-B16-P02","ID-B16","B",2.36363636363636,56.1272727272727,1551.98129611545,0,4,"Cave Canyon",2012,452.517907929002
"131","ID-B16-P03","ID-B16","B",3.24528301886792,54.6981132075472,1508.53642442491,2,-1,"Cave Canyon",2012,381.964285714286
"132","ID-B16-P04","ID-B16","B",5.50943396226415,47.0754716981132,1484.3378205476,2,-1,"Cave Canyon",2012,138.888888888889
"133","ID-B16-P05","ID-B16","B",3.85964912280702,57.1929824561403,1542.19131303267,2,4,"Cave Canyon",2012,300.347531636556
"134","ID-B16-P06","ID-B16","B",7.69642857142857,46.0535714285714,1518.89577229818,0,-1,"Cave Canyon",2012,502.009199711314
"135","ID-B16-P07","ID-B16","B",5.69090909090909,48.1454545454545,1502.29069871169,2,-1,"Cave Canyon",2012,376.715586909541
"136","ID-B16-P08","ID-B16","B",5.76363636363636,46.5818181818182,1488.04251437717,1,-1,"Cave Canyon",2012,138
"137","ID-B16-P09","ID-B16","B",4.33928571428571,50.25,1601.67480690696,2,1,"Cave Canyon",2012,412.567102972067
"138","ID-B16-P10","ID-B16","B",2.69642857142857,55.4285714285714,1564.52202563016,2,4,"Cave Canyon",2012,474.090215612341
"139","ID-B16-P11","ID-B16","B",4.56363636363636,50.4363636363636,1515.84563739483,2,-1,"Cave Canyon",2012,265.720061680056
"140","ID-B16-P12","ID-B16","B",5.12727272727273,48.6363636363636,1496.14399775752,2,-1,"Cave Canyon",2012,92.3744084393537
"141","ID-B16-P13","ID-B16","B",2.98181818181818,61.0909090909091,1572.96335449219,0,4,"Cave Canyon",2012,555.73427383988
"142","ID-B16-P14","ID-B16","B",5.03636363636364,54.0363636363636,1536.80595793547,0,-1,"Cave Canyon",2012,397.088189806257
"143","ID-B16-P15","ID-B16","B",6.83018867924528,47.3396226415094,1529.58833143446,0,1,"Cave Canyon",2012,164.195678017356
"144","ID-B16-P16","ID-B16","B",5.47169811320755,43.811320754717,1523.82463469329,1,-1,"Cave Canyon",2012,33.6351131863064
"145","ID-B19-P01","ID-B19","B",10.8703703703704,48.962962962963,2021.06706589919,1,-1,"Cave Canyon",2012,331.896710148564
"146","ID-B19-P02","ID-B19","B",5.41818181818182,48.8545454545455,2008.71048312717,3,-1,"Cave Canyon",2012,563.276569366455
"147","ID-B19-P03","ID-B19","B",2.12962962962963,56.0555555555556,1978.10574743883,3,2,"Cave Canyon",2012,638.175266335227
"148","ID-B19-P04","ID-B19","B",3.25454545454545,56.2,1958.72185189383,3,1,"Cave Canyon",2012,620.161861905185
"149","ID-B19-P05","ID-B19","B",10.2222222222222,50.8888888888889,2018.37787543403,1,-1,"Cave Canyon",2012,417.894994562322
"150","ID-B19-P06","ID-B19","B",5.03571428571429,57.0714285714286,2013.84659830729,1,-1,"Cave Canyon",2012,473.372485821064
"151","ID-B19-P07","ID-B19","B",3.36363636363636,60.9272727272727,1997.86502511161,2,-1,"Cave Canyon",2012,401.634178161621
"152","ID-B19-P08","ID-B19","B",3.55555555555556,59.8148148148148,1987.67210138494,2,-1,"Cave Canyon",2012,379.609376695421
"153","ID-B19-P09","ID-B19","B",8.74545454545455,50.9818181818182,2015.91283525739,1,-1,"Cave Canyon",2012,223.969666220925
"154","ID-B19-P10","ID-B19","B",7.71153846153846,56.6923076923077,2007.05867739077,2,-1,"Cave Canyon",2012,257.418425681374
"155","ID-B19-P11","ID-B19","B",4.33928571428571,59,1994.13569382002,2,-1,"Cave Canyon",2012,167.927797105577
"156","ID-B19-P12","ID-B19","B",2.92592592592593,54.3148148148148,1983.32764934671,2,-1,"Cave Canyon",2012,145.63623219616
"157","ID-B19-P13","ID-B19","B",11.5272727272727,49.8909090909091,2013.09524770883,0,-1,"Cave Canyon",2012,43.4126366669277
