"","Full.Point.ID","Point.ID","Route.ID","UTM.X","UTM.Y","Geo.X","Geo.Y","Route.Type"
"174","ID-B21-P02","02","ID-B21",331616.5359,4654639.692,-113.0339722,42.02578455,"B"
"175","ID-B21-P03","03","ID-B21",331862.0287,4654640.317,-113.0310088,42.02584267,"B"
"176","ID-B21-P04","04","ID-B21",332107.5209,4654640.95,-113.0280454,42.02590079,"B"
"177","ID-B22-P13","13","ID-B22",337047.6741,4662866.326,-112.9706953,42.100978,"B"
"178","ID-B22-P14","14","ID-B22",337292.8728,4662866.391,-112.9677316,42.10102946,"B"
"179","ID-B22-P15","15","ID-B22",337538.0712,4662866.465,-112.964768,42.10108092,"B"
"180","ID-B22-P16","16","ID-B22",337783.2691,4662866.547,-112.9618044,42.10113239,"B"
"181","ID-B22-P09","09","ID-B22",337047.5712,4663110.615,-112.9707646,42.10317686,"B"
"182","ID-B22-P10","10","ID-B22",337292.7615,4663110.68,-112.967801,42.10322833,"B"
"183","ID-B22-P11","11","ID-B22",337537.9513,4663110.753,-112.9648374,42.10327979,"B"
"184","ID-B22-P12","12","ID-B22",337783.1407,4663110.835,-112.9618737,42.10333125,"B"
"185","ID-B22-P05","05","ID-B22",337047.4687,4663354.896,-112.970834,42.10537566,"B"
"186","ID-B22-P06","06","ID-B22",337292.6505,4663354.96,-112.9678704,42.10542712,"B"
"187","ID-B22-P07","07","ID-B22",337537.8319,4663355.033,-112.9649067,42.10547858,"B"
"188","ID-B22-P08","08","ID-B22",337783.0128,4663355.115,-112.9619431,42.10553004,"B"
"189","ID-B22-P01","01","ID-B22",337047.3666,4663599.169,-112.9709033,42.10757437,"B"
"190","ID-B22-P02","02","ID-B22",337292.54,4663599.233,-112.9679397,42.10762583,"B"
"191","ID-B22-P03","03","ID-B22",337537.7129,4663599.305,-112.9649761,42.10767729,"B"
"192","ID-B22-P04","04","ID-B22",337782.8854,4663599.386,-112.9620125,42.10772875,"B"
"193","ID-B23-P13","13","ID-B23",321721.7624,4658805.445,-113.1546821,42.06109765,"B"
"194","ID-B23-P14","14","ID-B23",321967.1281,4658804.327,-113.1517183,42.0611432,"B"
"195","ID-B23-P15","15","ID-B23",322212.4935,4658803.216,-113.1487545,42.06118875,"B"
"196","ID-B23-P16","16","ID-B23",322457.8584,4658802.114,-113.1457907,42.0612343,"B"
