"","Full.Point.ID","UTM.X","UTM.Y","Sage.Cover","Shrub.Cover","Perennial.Cover","Annual.Cover","Bare.Ground.Cover","TRI","Elevation","Aspect","Fire.Dist","Tree.Cover","Burned","mean.rdnbr","Fire.Year","Fire.Count"
"108","UT-B25-P12",251072.4312,4636135.86,4.98148148148148,15.1666666666667,54.7777777777778,14.5740740740741,11.4444444444444,11.2964255854769,2035.95342902417,2,274.951803531287,0,1,272.639156676175,1999,1
"109","UT-B25-P13",251322.3887,4636105.306,1.53703703703704,8.59259259259259,67.1851851851852,22.5,4.40740740740741,9.90648470791903,1955.28004927202,2,444.50777915672,1,1,241.844856943403,1999,1
"110","UT-B25-P14",251572.3481,4636074.753,5.88888888888889,14.6111111111111,54.7777777777778,13.5925925925926,11.5740740740741,8.6005378136268,1980.64897507888,8,538.347012703879,0,1,364.279401009543,1999,1
"111","UT-B27-P01",247972.8024,4642764.71,5.44444444444444,9.55555555555556,39.8518518518519,10.3888888888889,34.7407407407407,1.47800709651067,1669.69862952599,-1,165.789473684211,0,1,165.823838097709,2006,2
"112","UT-B27-P02",248224.091,4642750.063,4.09090909090909,8.87272727272727,42.2181818181818,10.5636363636364,32.8727272727273,1.57908912941262,1668.97525363498,-1,82.3280675714666,0,1,486.728687085603,2006,2
"113","UT-B27-P03",248475.2774,4642732.383,3.49056603773585,8.69811320754717,44.4339622641509,10.7924528301887,30.4150943396226,1.26859491521662,1669.86695001776,-1,240.614422052557,0,1,533.08640561785,2006,1
"114","UT-B27-P04",248726.4653,4642714.703,3.6,8.50909090909091,42.6727272727273,10.1818181818182,32.8909090909091,1.2532309072989,1671.45281982422,-1,208.405521979699,0,1,554.43169035735,2006,1
"115","UT-B27-P05",247956.3863,4642519.908,4.57894736842105,9.03508771929824,40.4385964912281,10.8070175438596,35.1929824561403,1.2645667747215,1675.09201614945,-1,204.049534468217,0,1,361.347175861227,2006,2
"116","UT-B27-P06",248207.5719,4642502.224,3.5,8.42857142857143,44.8392857142857,11.3214285714286,29.7857142857143,1.73498998369489,1674.50599452427,-1,60.5555555555556,0,1,823.709839393353,2006,2
"117","UT-B27-P07",248458.7589,4642484.542,4.45454545454545,9.38181818181818,43.5454545454545,9.90909090909091,30.1818181818182,1.3243590763637,1677.37518310547,-1,142.200357225206,0,1,589.715618133545,2006,1
"118","UT-B27-P08",248709.9476,4642466.861,3.75925925925926,8.87037037037037,43.6111111111111,9.7037037037037,30.8518518518519,1.42275834517045,1678.39753417969,-1,57.744667746804,0,1,631.597515530056,2006,2
"119","UT-B27-P09",247939.8651,4642272.071,3.87037037037037,8.05555555555556,46.4074074074074,12.0740740740741,29.1481481481481,2.31683547408492,1672.80821397569,-1,211.305483217593,0,1,808.920370483398,2006,2
"120","UT-B27-P10",248191.0515,4642254.386,3.42592592592593,7.64814814814815,41.1481481481481,9.96296296296296,35.5925925925926,1.51834134188565,1680.32905051491,-1,61.9696391712536,0,1,738.280384608677,2006,2
"121","UT-B27-P11",248442.2394,4642236.702,4.38888888888889,9.03703703703704,45.0925925925926,9.98148148148148,28.6481481481481,1.43656560724432,1686.76230912642,-1,83.3689981188093,0,1,785.16597039359,2006,2
"122","UT-B27-P12",248693.4288,4642219.019,4.63636363636364,8.98181818181818,43.8,10.4181818181818,30.8363636363636,1.30894470214844,1686.82461381392,-1,141.585386821202,0,1,304.655351093837,2006,2
"123","UT-B27-P13",247919.6543,4642024.269,2.94545454545455,6.90909090909091,43.4909090909091,11.7272727272727,33.2727272727273,1.86182722611861,1669.75016645952,-1,357.988945855035,0,1,222.57120513916,2006,2
"124","UT-B27-P14",248174.53,4642006.548,4.01851851851852,8.75925925925926,44.1111111111111,12.0740740740741,30.6851851851852,1.99043567364032,1686.30959378756,-1,272.349648241727,0,1,601.355144153942,2006,2
"125","UT-B27-P15",248425.7186,4641988.862,3.91228070175439,8.31578947368421,48.6842105263158,12.5438596491228,24.9649122807018,1.5130917635831,1690.54599165483,-1,177.882036521218,0,1,331.483586629232,2006,2
"126","UT-B27-P16",248676.9087,4641971.178,4,9.23214285714286,47.6785714285714,12.0178571428571,25.6071428571429,1.52359856499566,1695.55725549769,-1,60.5147590637207,0,1,539.258214879919,2006,2
"127","UT-B30-P01",249651.7692,4639470.469,4.80357142857143,12.0357142857143,54.9107142857143,16.5178571428571,12.5,9.04905446370443,1895.79226571542,2,481.756763034397,0,1,2146.28742453835,2006,2
"128","UT-B30-P02",249902.9717,4639452.92,4.66071428571429,11.3571428571429,56.3035714285714,18.1785714285714,11.5892857142857,7.75072770552202,1860.91435324929,2,519.577711882415,0,1,1876.426701137,2006,2
"129","UT-B30-P03",250154.176,4639435.373,4.27777777777778,10.9814814814815,55.7592592592593,17.2222222222222,12.7962962962963,5.98008482796805,1881.69969831194,-1,354.846818146882,0,1,1993.39003462358,2006,2
"130","UT-B30-P04",250405.3816,4639417.827,2.61818181818182,7.85454545454545,62.1636363636364,19.5818181818182,7.81818181818182,8.09129074384581,1885.30666135392,1,159.32128407405,0,1,2111.17015245226,2006,2
"131","UT-B30-P05",249635.3877,4639222.632,3.70909090909091,11.0181818181818,52.6545454545455,17.3818181818182,17.3272727272727,8.22826498526114,1955.607421875,2,725.213912963867,0,1,1316.9573865618,2006,2
"132","UT-B30-P06",249886.5909,4639205.082,3.70909090909091,10.5818181818182,57.2727272727273,19.2727272727273,11.7272727272727,8.76862349076704,1907.69378995028,1,693.898075727983,0,1,2064.62378801618,2006,2
